,JUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Total/Category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food,1445,140,-,115,95,60,40,260,-,55,-,65,55,50,- ,-,40,50,50,110,-,-,-,60,50,90,-,-,-,-,60,
,Tea & Snacks,920,30,30,30,30,30,30,30,60,50,45,45,60,170,- ,30,30,30,30,-,-,-,45,-,30,-,--,-,-,30,55,
,Stationary,144,-,-,-,-,-,-,-,-,-,-,-,-,-,- ,34,-,-,110,-,-,-,,-,-,-,-,-,-,-,-,
,Grocery,78,-,-,-,-,-,-,-,-,-,-,-,-,-,- ,-,-,10,18,-,-,-,50,-,-,-,-,-,-,-,-,
,Others,1285,200,200,-,-,-,-,-,45,-,-,-,-,-,- ,320,-,270,-,-,40,60,-,-,-,150,-,-,-,-,-,
,,,haircut,"Socks,handkey",,,,,,clip,,,,,,,binding,,doctor,,,recharge,achu shoe polish,,,,haircut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3872,1780,3000,8652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JULY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Total/Category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food,1625,60,-,70,-,60,130,50,50,50,50,70,-,-,100,135,50,60,-,-,50,50,75,120,110,50,-,-,50,-,110,75
,Tea & Snacks,812,20,-,-,40,-,55,35,50,77,35,35,-,45,35,25,-,-,-,-,35,35,-,30,65,75,-,35,35,-,50,-
,Stationary,578,-,-,-,-,250,-,-,110,-,-,-,-,-,-,-,-,-,-,-,-,50,-,15,32,30,-,-,66,-,-,25
,Grocery,135,-,-,-,-,10,35,-,-,-,-,30,-,-,-,-,20,20,-,-,-,-,10,-,-,-,-,-,-,10,-,-
,Others,749,-,80,100,-,-,-,-,-,-,20,100,-,-,-,-,-,-,130,95,85,-,-,-,-,-,39,100,-,-,-,-
,,,,spray,petrol,,,,,,,,petrol,,,,,,,Chicken,Things,Wifi,,,,,,recharge,petrol,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JULY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3899,1860,3000,8759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUGUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Total/Category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food,1730,-,-,100,50,70,70,90,-,245,70,70,185,60,50,-,-,-,-,-,80,60,50,160,-,60,100,50,50,-,-,60
,Tea & Snacks,629,70,70,30,30,10,10,10,15,-,10,30,50,25,20,-,-,25,-,50,50,25,-,-,-,-,-,35,-,20,-,44
,Stationary,549,-,-,-,10,-,36,26,40,-,4,-,38,15,30,-,-,104,-,30,-,-,-,-,-,10,-,-,-,-,-,206
,Grocery,116,-,-,-,10,10,-,-,10,10,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,56,-
,Others,764,-,-,-,-,-,-,-,-,-,-,220,20,-,-,-,-,-,50,-,-,400,-,-,-,-,74,-,-,-,-,-
,,,,,,,,,,,,,movie,,,,,,,bala,,,mandi,,,,,wifi,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUGUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3788,2050,3000,8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Total/Category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food,700,50,50,60,-,-,50,50,80,110,70,110,70,-,,,,,,,,,,,,,,,,,,
,Tea & Snacks,249,10,-,-,-,-,22,24,22,24,12,30,20,85,,,,,,,,,,,,,,,,,,
,Stationary,65,2,-,28,-,-,-,35,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
,Grocery,175,24,24,-,-,-,-,51,-,20,36,20,-,-,,,,,,,,,,,,,,,,,,
,Others,740,30,-,-,-,60,-,-,-,400,-,-,100,150,,,,,,,,,,,,,,,,,,
,,,onam,,,,petrol,,,,recharge,,,travel,haircut,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1929,750,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Food,Rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,
